"No.","Time","Source","Destination","Protocol","Length","Info"
"8022","11:57:11.490015297","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38722 Ack=4107430 Win=65536 Len=0"
"8023","11:57:11.490015323","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8024","11:57:11.490165046","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8025","11:57:11.490388147","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38761 Ack=4111608 Win=65536 Len=0"
"8026","11:57:11.490388240","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8027","11:57:11.490493187","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8028","11:57:11.490664494","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38800 Ack=4115786 Win=65536 Len=0"
"8029","11:57:11.490664595","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8030","11:57:11.490951841","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8031","11:57:11.490951946","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38839 Ack=4119964 Win=65536 Len=0"
"8032","11:57:11.490951987","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8033","11:57:11.491121035","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8034","11:57:11.491256062","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38878 Ack=4124142 Win=65536 Len=0"
"8035","11:57:11.491256166","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8036","11:57:11.491400936","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8037","11:57:11.491516360","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38917 Ack=4128320 Win=65536 Len=0"
"8038","11:57:11.491516445","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8039","11:57:11.491684020","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8040","11:57:11.491803550","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38956 Ack=4132498 Win=65536 Len=0"
"8041","11:57:11.491803631","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8042","11:57:11.491903620","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8043","11:57:11.492067715","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=38995 Ack=4136676 Win=65536 Len=0"
"8044","11:57:11.492067802","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8045","11:57:11.492214904","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8046","11:57:11.492273401","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39034 Ack=4140854 Win=65536 Len=0"
"8047","11:57:11.492273479","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8048","11:57:11.492418904","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8049","11:57:11.492519893","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39073 Ack=4145032 Win=65536 Len=0"
"8050","11:57:11.492519979","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8051","11:57:11.493091243","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8052","11:57:11.493206474","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39112 Ack=4149210 Win=65536 Len=0"
"8053","11:57:11.493206557","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8054","11:57:11.493316437","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8055","11:57:11.493430986","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39151 Ack=4153388 Win=65536 Len=0"
"8056","11:57:11.493431068","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8057","11:57:11.493545383","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8058","11:57:11.493695403","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39190 Ack=4157566 Win=65536 Len=0"
"8059","11:57:11.493695484","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8060","11:57:11.493801920","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8061","11:57:11.493950432","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39229 Ack=4161744 Win=65536 Len=0"
"8062","11:57:11.493950510","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8063","11:57:11.494082865","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8064","11:57:11.494178312","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39268 Ack=4165922 Win=65536 Len=0"
"8065","11:57:11.494178396","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8066","11:57:11.494303359","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8067","11:57:11.494395462","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39307 Ack=4170100 Win=65536 Len=0"
"8068","11:57:11.494423464","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8069","11:57:11.494615558","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8070","11:57:11.494742022","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39346 Ack=4174278 Win=65536 Len=0"
"8071","11:57:11.494957278","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8072","11:57:11.495066268","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8073","11:57:11.495185322","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39385 Ack=4178456 Win=65536 Len=0"
"8074","11:57:11.495185406","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8075","11:57:11.495297573","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8076","11:57:11.495398512","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39424 Ack=4182634 Win=65536 Len=0"
"8077","11:57:11.495475648","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8078","11:57:11.495681803","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8079","11:57:11.495756845","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39463 Ack=4186812 Win=65536 Len=0"
"8080","11:57:11.495756962","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8081","11:57:11.495903214","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8082","11:57:11.496005988","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39502 Ack=4190990 Win=65536 Len=0"
"8083","11:57:11.496110876","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8084","11:57:11.496264124","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8085","11:57:11.496357728","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39541 Ack=4195168 Win=65536 Len=0"
"8086","11:57:11.496357879","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8087","11:57:11.496523533","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8088","11:57:11.496626695","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39580 Ack=4199346 Win=65536 Len=0"
"8089","11:57:11.496626788","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8090","11:57:11.496846890","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8091","11:57:11.496846975","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39619 Ack=4203524 Win=65536 Len=0"
"8092","11:57:11.496963059","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"8093","11:57:11.497131310","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"8094","11:57:11.497239368","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=39658 Ack=4207702 Win=65536 Len=0"
